Time,Solar,Hydro,Nuclear,Wind_Power,Total,Wind_Weather,Temp,Price
2020-03-06 00:00:00,0.0,31399.79999,55963.39994,830.0,157726.29994,4.21939393939394,-1.4396039603960396,1.7062400000000002
2020-03-06 01:00:00,0.0,29591.0,55975.59992,840.0,156427.39993,4.273333333333333,-1.5831683168316832,1.91456
2020-03-06 02:00:00,0.0,30587.7,55969.09995,894.0,159438.49995,4.338181818181818,-1.7465346534653463,1.85504
2020-03-06 03:00:00,0.0,32868.09999,55966.99995,960.0,161606.69994,4.289090909090909,-1.900990099009901,1.85876
2020-03-06 04:00:00,0.0,37995.39999,55976.29998,889.0,170166.69992,4.296341463414635,-2.0502487562189056,1.89472
2020-03-06 05:00:00,0.003,44979.79995,55983.099930000004,843.0,182277.79995000002,4.264634146341463,-2.194059405940594,2.0968400000000003
2020-03-06 06:00:00,2.57399,47726.39994,55962.39992,826.0,184216.79994,4.256441717791411,-2.413432835820896,3.06528
2020-03-06 07:00:00,12.879,48062.799920000005,55943.79995,712.0,183787.59995,4.167073170731707,-2.4188118811881187,3.5712
2020-03-06 08:00:00,37.396,48366.19996,55948.39993,604.0,183657.89993,4.25,-2.143069306930693,5.322080000000001
2020-03-06 09:00:00,50.579,47798.499950000005,55950.19996,562.0,182395.89992,4.435151515151515,-1.7168316831683168,5.46964
2020-03-06 10:00:00,66.465,47890.19992,55941.29991,551.0,182834.59992,4.603030303030304,-1.2757425742574258,5.44484
2020-03-06 11:00:00,75.60899,44532.09998,55968.49996,606.0,180183.39995,4.715757575757576,-0.8603960396039605,4.999680000000001
2020-03-06 12:00:00,73.41599,43004.39993,55960.799920000005,662.0,177928.99992,4.79030303030303,-0.5044554455445545,5.0406
2020-03-06 13:00:00,64.822,44375.39995,55967.2999,677.0,178185.39991,4.818181818181818,-0.2074257425742574,4.8806400000000005
2020-03-06 14:00:00,50.69599,43577.39994,55972.89993,707.0,174021.19994,4.65246913580247,-0.0109452736318407,4.87568
2020-03-06 15:00:00,27.10999,45945.29998,55974.79995,693.0,179022.59992,4.456707317073171,-0.1059405940594059,3.86508
2020-03-06 16:00:00,4.62699,46367.89994,55976.79995,778.0,186100.69996,3.834756097560976,-0.6217821782178218,3.22152
2020-03-06 17:00:00,0.0,47848.39996,55984.29993,988.0,191394.9999,3.4530487804878045,-1.5321782178217822,3.4794400000000003
2020-03-06 18:00:00,0.0,42843.29995,55965.49992,1112.0,184213.39995,3.5109090909090908,-2.1633663366336635,4.87568
2020-03-06 19:00:00,0.0,36333.6,55971.19989,1130.0,174630.29994,3.5684848484848484,-2.504950495049505,6.1442
2020-03-06 20:00:00,0.0,32402.4,55979.39994,1178.0,170062.79989,3.4945454545454546,-2.743564356435644,3.29592
2020-03-06 21:00:00,0.0,30171.1,55968.89993,1228.0,167365.09992,3.426060606060606,-2.977722772277228,1.81784
2020-03-06 22:00:00,0.0,27496.29999,55974.19991,1257.0,163890.39994,3.39030303030303,-3.143564356435644,2.10056
2020-03-06 23:00:00,0.0,30492.39998,55966.69996,1257.0,165012.4999,3.257575757575758,-3.395049504950495,1.7186400000000002
2020-03-07 00:00:00,0.0,31217.3,55976.599930000004,1220.0,165637.89996,3.1823170731707315,-3.583582089552239,1.6058
2020-03-07 01:00:00,0.0,32861.9,55975.49994,1203.0,165968.59992,3.112727272727273,-3.752970297029703,1.57976
2020-03-07 02:00:00,0.0,31180.8,55980.49991,1117.0,164184.69993,3.0345454545454547,-3.998009950248756,1.54876
2020-03-07 03:00:00,0.0,31213.3,55982.799940000004,1094.0,163714.19992,3.083030303030303,-4.098019801980198,1.54752
2020-03-07 04:00:00,0.0,34618.8,55975.49995,1090.0,166741.79991,3.1230303030303026,-4.227227722772277,1.55992
2020-03-07 05:00:00,0.009,38449.99998,55972.999970000004,1064.0,168825.09991,3.2325153374233127,-4.245273631840797,1.60084
2020-03-07 06:00:00,3.209,41217.59994,55967.59995,948.0,170881.19989,3.365853658536585,-4.117326732673267,1.5128
2020-03-07 07:00:00,13.29899,46162.39991,55960.99994,836.0,175479.79993,3.463414634146341,-3.401485148514852,1.60208
2020-03-07 08:00:00,33.137,45278.49992,55965.89996,756.0,172799.29992,3.506748466257669,-2.418407960199005,2.42048
2020-03-07 09:00:00,41.10399,45436.39992,55969.59998,666.0,170835.19997000002,3.56319018404908,-1.3388059701492538,2.72552
2020-03-07 10:00:00,50.23299,46396.89992,55963.39995,586.0,170147.79993,3.728048780487805,-0.2886138613861386,2.84704
2020-03-07 11:00:00,52.069,45728.099930000004,55961.19993,527.0,167804.69994,3.739024390243903,0.5673267326732673,3.0318
2020-03-07 12:00:00,46.82399,44500.499990000004,55965.19989,467.0,165733.99992,3.670731707317073,1.1613861386138613,3.0814
2020-03-07 13:00:00,42.758,43879.89992,55966.89993,413.0,164592.19991,3.492682926829268,1.4792079207920792,3.13348
2020-03-07 14:00:00,30.951,44979.19994,55963.59994,399.0,164837.29993,3.231707317073171,1.5198019801980198,3.3418
2020-03-07 15:00:00,17.63599,46001.79992,55988.69992,381.0,167579.39995,2.9939024390243905,1.1757425742574257,3.38396
2020-03-07 16:00:00,2.798,49372.799960000004,55977.29997,418.0,174966.29992,2.740490797546012,0.2445544554455445,2.8892
2020-03-07 17:00:00,0.0,48785.99991,55958.59994,467.0,177983.79992,2.642073170731708,-0.9113861386138612,2.84456
2020-03-07 18:00:00,0.0,45310.99996,55971.89996,552.0,173766.99993,2.6304878048780487,-1.6529702970297029,3.7076
2020-03-07 19:00:00,0.0,42291.89993,55972.19994,583.0,172934.99992,2.703680981595092,-2.152970297029703,4.695880000000001
2020-03-07 20:00:00,0.0,42235.19996,55968.99992,765.0,173254.79996,2.622699386503068,-2.5980198019801977,2.8904400000000003
2020-03-07 21:00:00,0.0,42030.29992,55987.19993,855.0,172557.79991,2.63680981595092,-3.045049504950496,2.72056
2020-03-07 22:00:00,0.0,35972.9,55971.199940000006,927.0,166448.09991,2.670552147239264,-3.4194029850746266,2.79
2020-03-07 23:00:00,0.0,31234.69999,55960.29991,1029.0,163245.99993,2.735365853658537,-3.767821782178218,2.0708
2020-03-08 00:00:00,0.0,29062.1,55979.19993,1134.0,161901.89992,2.813939393939394,-3.982673267326733,1.48924
2020-03-08 01:00:00,0.0,29397.5,55973.599910000004,1184.0,163689.39996,2.8866666666666667,-4.2,1.22884
2020-03-08 02:00:00,0.0,29839.7,55973.39995,1259.0,165728.49995,2.995757575757576,-4.394059405940594,1.19412
2020-03-08 03:00:00,0.0,29695.6,55988.89994,1328.0,166129.19995,3.157317073170732,-4.537313432835821,1.17428
2020-03-08 04:00:00,0.0,29985.19998,55963.4999,1333.0,166599.89994,3.338181818181818,-4.633168316831683,1.11848
2020-03-08 05:00:00,0.035,30303.3,55968.79997,1356.0,167708.79992,3.4012121212121214,-4.576237623762376,1.07384
2020-03-08 06:00:00,4.91099,32644.49998,55971.19993,1403.0,171946.89993,3.632727272727273,-4.248019801980198,1.08128
2020-03-08 07:00:00,20.036,36443.1,55971.39993,1513.0,176393.59995,4.071515151515151,-3.262376237623762,1.07508
2020-03-08 08:00:00,45.46999,36191.09999,55980.999930000005,1562.0,175848.69991,4.456969696969697,-1.955445544554456,1.14204
2020-03-08 09:00:00,61.26899,36169.29999,55977.09996,1544.0,176133.59998,4.9375757575757575,-0.5331683168316832,1.16932
2020-03-08 10:00:00,71.85099,36434.69999,55972.399900000004,1591.0,177304.69991999998,5.5060975609756095,0.6208955223880597,1.1631200000000002
2020-03-08 11:00:00,77.257,35122.59999,55955.79993,1682.0,176570.79993,6.026219512195122,1.4925742574257426,1.18792
2020-03-08 12:00:00,68.51699,33614.99999,55989.5999,1740.0,176144.19994,6.41939393939394,2.005940594059406,1.1656
2020-03-08 13:00:00,52.036,33357.6,55984.799920000005,1787.0,176172.79995000002,6.678787878787879,2.237623762376238,1.10732
2020-03-08 14:00:00,40.12299,33812.89998,55987.29995,1827.0,176765.59993,6.805487804878048,2.229353233830846,1.04532
2020-03-08 15:00:00,22.581,35042.89997,55970.19996,1833.0,178435.89992,6.8785276073619634,2.057425742574257,1.08748
2020-03-08 16:00:00,4.35299,38238.49998,55967.49992,1866.0,182231.49994,6.979393939393939,1.707920792079208,1.18544
2020-03-08 17:00:00,0.0,39365.9,55980.89996,1887.0,183431.99991,7.121951219512195,1.4184079601990052,1.20652
2020-03-08 18:00:00,0.0,36032.8,55951.89992,1891.0,179709.69993,7.366666666666666,1.3613861386138617,1.24496
2020-03-08 19:00:00,0.0,35443.1,55922.599930000004,1894.0,179273.39995,7.580487804878049,1.4213930348258703,1.31316
2020-03-08 20:00:00,0.0,35261.49999,55958.199940000006,1891.0,178701.69989,7.714024390243902,1.463681592039801,1.3082
2020-03-08 21:00:00,0.0,35117.79999,55951.29997,1876.0,178082.49996000002,7.696969696969697,1.5054455445544557,1.2524
2020-03-08 22:00:00,0.0,34869.89999,55977.79993,1863.0,177114.99993,7.636363636363637,1.5970297029702971,1.2300799999999998
2020-03-08 23:00:00,0.0,34083.89999,55982.799920000005,1860.0,176205.59992,7.635151515151515,1.6702970297029702,1.19164
